step,tag,value
36864,train/clip_range,0.20000000298023224
38912,train/clip_range,0.20000000298023224
40960,train/clip_range,0.20000000298023224
43008,train/clip_range,0.20000000298023224
45056,train/clip_range,0.20000000298023224
47104,train/clip_range,0.20000000298023224
49152,train/clip_range,0.20000000298023224
51200,train/clip_range,0.20000000298023224
4096,train/entropy_loss,-5.671798419952393
6144,train/entropy_loss,-5.660812425613403
8192,train/entropy_loss,-5.646234130859375
10240,train/entropy_loss,-5.618573951721191
12288,train/entropy_loss,-5.591248989105225
14336,train/entropy_loss,-5.566726446151733
16384,train/entropy_loss,-5.534843158721924
18432,train/entropy_loss,-5.492721128463745
20480,train/entropy_loss,-5.458678436279297
22528,train/entropy_loss,-5.433374404907227
24576,train/entropy_loss,-5.393105316162109
26624,train/entropy_loss,-5.331214952468872
28672,train/entropy_loss,-5.27603850364685
30720,train/entropy_loss,-5.234699487686157
32768,train/entropy_loss,-5.198759937286377
34816,train/entropy_loss,-5.164677953720092
36864,train/entropy_loss,-5.132062482833862
38912,train/entropy_loss,-5.105591297149658
40960,train/entropy_loss,-5.069190883636475
43008,train/entropy_loss,-5.035295867919922
45056,train/entropy_loss,-5.006372261047363
47104,train/entropy_loss,-4.979566621780395
49152,train/entropy_loss,-4.95415620803833
51200,train/entropy_loss,-4.93036527633667
4096,train/explained_variance,-0.007542210817337036
6144,train/explained_variance,0.18783966302871705
8192,train/explained_variance,0.21273109316825867
10240,train/explained_variance,0.389333975315094
12288,train/explained_variance,0.30553423762321474
14336,train/explained_variance,0.27739455699920657
16384,train/explained_variance,0.1577861487865448
18432,train/explained_variance,0.3810594081878662
20480,train/explained_variance,0.2840285062789917
22528,train/explained_variance,0.44982250928878786
24576,train/explained_variance,0.1870611310005188
26624,train/explained_variance,0.0009529352188110352
28672,train/explained_variance,0.29445585012435915
30720,train/explained_variance,0.2834178268909454
32768,train/explained_variance,0.11231316328048706
34816,train/explained_variance,0.39594451189041135
36864,train/explained_variance,0.42483029961586
38912,train/explained_variance,0.35892814993858335
40960,train/explained_variance,0.35460063219070437
43008,train/explained_variance,0.526689875125885
45056,train/explained_variance,0.35129131078720094
47104,train/explained_variance,0.45505648851394653
49152,train/explained_variance,0.523030823469162
51200,train/explained_variance,0.6220407009124755
4096,train/learning_rate,0.0003000000142492354
6144,train/learning_rate,0.0003000000142492354
8192,train/learning_rate,0.0003000000142492354
10240,train/learning_rate,0.0003000000142492354
12288,train/learning_rate,0.0003000000142492354
14336,train/learning_rate,0.0003000000142492354
16384,train/learning_rate,0.0003000000142492354
18432,train/learning_rate,0.0003000000142492354
20480,train/learning_rate,0.0003000000142492354
22528,train/learning_rate,0.0003000000142492354
24576,train/learning_rate,0.0003000000142492354
26624,train/learning_rate,0.0003000000142492354
28672,train/learning_rate,0.0003000000142492354
30720,train/learning_rate,0.0003000000142492354
32768,train/learning_rate,0.0003000000142492354
34816,train/learning_rate,0.0003000000142492354
36864,train/learning_rate,0.0003000000142492354
38912,train/learning_rate,0.0003000000142492354
40960,train/learning_rate,0.0003000000142492354
43008,train/learning_rate,0.0003000000142492354
45056,train/learning_rate,0.0003000000142492354
47104,train/learning_rate,0.0003000000142492354
49152,train/learning_rate,0.0003000000142492354
51200,train/learning_rate,0.0003000000142492354
4096,train/loss,56.21952669918537
6144,train/loss,33.70496388822794
8192,train/loss,8.46884377039969
10240,train/loss,43.988391657173636
12288,train/loss,16.260533813387156
14336,train/loss,15.845447314158083
16384,train/loss,11.26935717239976
18432,train/loss,23.241957472264765
20480,train/loss,13.558525302819907
22528,train/loss,17.389147316478194
24576,train/loss,1.529866548255086
26624,train/loss,0.2657969132065773
28672,train/loss,3.4470688652247192
30720,train/loss,2.3488036572933195
32768,train/loss,3.836933396756649
34816,train/loss,1.8317723169922828
36864,train/loss,3.7325925985351205
38912,train/loss,2.205881191790104
40960,train/loss,1.700445581227541
43008,train/loss,1.4312375150620937
45056,train/loss,4.084549990296364
47104,train/loss,4.299329616874457
49152,train/loss,0.9215472927317023
51200,train/loss,1.7062793470919133
4096,train/policy_gradient_loss,-0.009726591315120459
6144,train/policy_gradient_loss,-0.009001291170716286
8192,train/policy_gradient_loss,-0.010320366616360844
10240,train/policy_gradient_loss,-0.00897667552344501
12288,train/policy_gradient_loss,-0.008564548322465271
14336,train/policy_gradient_loss,-0.005440104845911264
16384,train/policy_gradient_loss,-0.009109510900452733
